Timestamp,Name,CPU,Memory
2024-10-31 04:01:45,samdul-load_balancer-1,0.12%,87.25%
2024-10-31 04:01:49,samdul-load_balancer-1,0.12%,87.25%
2024-10-31 04:01:53,samdul-load_balancer-1,0.13%,87.25%
2024-10-31 04:01:57,samdul-load_balancer-1,0.12%,87.25%
2024-10-31 04:02:01,samdul-load_balancer-1,0.16%,87.25%
2024-10-31 04:02:05,samdul-load_balancer-1,0.12%,87.25%
2024-10-31 04:02:09,samdul-load_balancer-1,0.11%,87.25%
2024-10-31 04:02:13,samdul-load_balancer-1,0.11%,87.25%
2024-10-31 04:02:17,samdul-load_balancer-1,0.11%,87.25%
2024-10-31 04:02:21,samdul-load_balancer-1,0.15%,87.25%
2024-10-31 04:02:25,samdul-load_balancer-1,0.12%,87.25%
2024-10-31 04:02:29,samdul-load_balancer-1,0.12%,87.25%
2024-10-31 04:02:33,samdul-load_balancer-1,0.13%,87.05%
2024-10-31 04:02:37,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:02:41,samdul-load_balancer-1,0.16%,87.05%
2024-10-31 04:02:45,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:02:49,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:02:53,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:02:57,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:01,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:05,samdul-load_balancer-1,0.13%,87.05%
2024-10-31 04:03:09,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:13,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:18,samdul-load_balancer-1,0.13%,87.05%
2024-10-31 04:03:22,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:26,samdul-load_balancer-1,0.11%,87.05%
2024-10-31 04:03:30,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:34,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:38,samdul-load_balancer-1,0.11%,87.05%
2024-10-31 04:03:42,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:46,samdul-load_balancer-1,0.11%,87.05%
2024-10-31 04:03:50,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:03:54,samdul-load_balancer-1,0.11%,87.05%
2024-10-31 04:03:58,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:04:02,samdul-load_balancer-1,0.11%,87.05%
2024-10-31 04:04:06,samdul-load_balancer-1,0.13%,87.05%
2024-10-31 04:04:10,samdul-load_balancer-1,0.20%,87.05%
2024-10-31 04:04:14,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:04:18,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:04:22,samdul-load_balancer-1,0.13%,87.05%
2024-10-31 04:04:26,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:04:30,samdul-load_balancer-1,0.12%,87.05%
2024-10-31 04:04:34,samdul-load_balancer-1,0.13%,86.89%
2024-10-31 04:04:38,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:04:42,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:04:46,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:04:50,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:04:54,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:04:58,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:02,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:06,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:05:10,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:05:14,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:05:18,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:05:22,samdul-load_balancer-1,0.13%,86.89%
2024-10-31 04:05:26,samdul-load_balancer-1,0.13%,86.89%
2024-10-31 04:05:30,samdul-load_balancer-1,0.13%,86.89%
2024-10-31 04:05:34,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:38,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:05:42,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:46,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:50,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:54,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:05:58,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:06:02,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:06:06,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:06:10,samdul-load_balancer-1,0.22%,86.89%
2024-10-31 04:06:14,samdul-load_balancer-1,0.13%,86.89%
2024-10-31 04:06:18,samdul-load_balancer-1,0.12%,86.89%
2024-10-31 04:06:22,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:06:26,samdul-load_balancer-1,0.11%,86.89%
2024-10-31 04:06:30,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:06:34,samdul-load_balancer-1,0.10%,86.74%
2024-10-31 04:06:38,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:06:42,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:06:46,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:06:50,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:06:54,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:06:58,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:02,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:06,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:10,samdul-load_balancer-1,0.10%,86.74%
2024-10-31 04:07:14,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:18,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:07:22,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:07:26,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:07:30,samdul-load_balancer-1,0.16%,86.74%
2024-10-31 04:07:34,samdul-load_balancer-1,0.13%,86.74%
2024-10-31 04:07:38,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:42,samdul-load_balancer-1,0.09%,86.74%
2024-10-31 04:07:46,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:50,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:07:54,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:07:58,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:08:02,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:08:06,samdul-load_balancer-1,0.12%,86.74%
2024-10-31 04:08:10,samdul-load_balancer-1,0.19%,86.74%
2024-10-31 04:08:14,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:08:18,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:08:22,samdul-load_balancer-1,0.11%,86.74%
2024-10-31 04:08:26,samdul-load_balancer-1,0.10%,86.74%
2024-10-31 04:08:30,samdul-load_balancer-1,0.13%,86.58%
2024-10-31 04:08:34,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:08:38,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:08:42,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:08:46,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:08:50,samdul-load_balancer-1,0.15%,86.58%
2024-10-31 04:08:54,samdul-load_balancer-1,0.10%,86.58%
2024-10-31 04:08:58,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:09:03,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:09:07,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:09:11,samdul-load_balancer-1,0.16%,86.58%
2024-10-31 04:09:15,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:09:19,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:09:23,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:09:27,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:09:31,samdul-load_balancer-1,0.19%,86.58%
2024-10-31 04:09:35,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:09:39,samdul-load_balancer-1,0.13%,86.58%
2024-10-31 04:09:43,samdul-load_balancer-1,0.12%,86.58%
2024-10-31 04:09:47,samdul-load_balancer-1,0.11%,86.58%
2024-10-31 04:09:51,samdul-load_balancer-1,0.15%,86.58%
2024-10-31 04:09:55,samdul-load_balancer-1,0.11%,86.58%
